"SKU";"Наименование";"цвет";"вес кирпича грамм";"на поддоне";"морозостойкость/марка прочности";"Цена в копейках";"Балаково";"Волгоград";"Волжский";"Вольск";"Воронеж";"Казахстан";"Липецк";"Махачкала";"Пенза";"Пугачев";"Саратов";"Сызрань";"Тамбов";"Тольятти";"Ульяновск"
"br-1";"Кирпич керамический облицовочный полуторный пустотелый";"красный";3300;352;"M150 /F75";1490;1630;1660;1660;;;;1665;2400;1529;;1500;1900;1490;1500;1650
"br-2";"Кирпич керамический облицовочный одинарный пустотелый";"красный";2400;480;"M150 /F75";1170;1250;1360;1360;;;;1465;1880;1329;;1350;1300;1330;1350;1380
"br-3";"Кирпич керамический облицовочный полуторный пустотелый «черепашка», «короед»";"красный рельефный";3300;352;"M150 /F75";1500;1465;1660;1660;;;;1765;2400;1629;;1500;1900;1490;1500;1650
"br-4";"Кирпич керамический облицовочный одинарный пустотелый «черепашка», «короед»";"красный рельефный";2400;480;"M150 /F75";1180;1250;1360;1360;;;;1475;1880;1339;;1350;1300;1330;1350;1380
"br-5";"Кирпич керамический облицовочный «половинка» пустотелый";"красный";1200;960;"M150 /F50";890;1140;1030;1030;;;;1245;1300;1109;;900;1110;1320;900;1020
"br-6";"Кирпич керамический облицовочный «половинка» пустотелый «черепашка», «короед»";"красный рельефный";1200;960;"M150 /F75";900;1140;1030;1030;;;;1255;1300;1119;;900;1110;1320;900;1020
"br-7";"Кирпич керамический облицовочный полуторный пустотелый «молочный шоколад»";"коричневый";3300;352;"M150 /F75";2400;2550;2480;2480;;;;2665;3580;2529;;2400;2690;2400;2400;2560
"br-8";"Кирпич керамический облицовочный одинарный пустотелый «молочный шоколад»";"коричневый";2400;480;"M150 /F75";1550;1750;1840;1840;;;;1865;2350;1729;;1650;1990;1550;1650;1770
"br-9";"Кирпич керамический облицовочный полуторный пустотелый «черепашка», «короед»";"коричневый рельефный";3300;352;"M150 /F75";2400;2550;2480;2480;;;;2665;3580;2529;;2400;2690;2400;2400;2410
"br-10";"Кирпич керамический облицовочный одинарный пустотелый «черепашка», «короед»";"коричневый рельефный";2400;480;"M150 /F75";1560;1750;1840;1840;;;;1865;2350;1729;;1650;1990;1560;1650;1790
"br-11";"Кирпич керамический облицовочный «половинка» пустотелый";"коричневый";1200;960;"M150 /F75";1190;1445;1400;1400;;;;1550;1650;1414;;1300;1510;1190;1300;1370
"br-12";"Кирпич керамический облицовочный «половинка» пустотелый «черепашка», «короед»";"коричневый рельефный";1200;960;"M150 /F50";1200;1445;1400;1400;;;;1560;1650;1424;;1300;1510;1200;1300;1370
"br-13";"Кирпич керамический облицовочный полуторный пустотелый «слоновая кость»";"светлый";3300;352;"M150 /F75";2860;0;0;0;;;;0;0;0;;0;0;2860;0;0
"br-14";"Кирпич керамический облицовочный одинарный пустотелый «слоновая кость»";"светлый";2400;480;"M150 /F75";2230;0;0;0;;;;0;0;0;;0;0;2230;0;0
"br-15";"Кирпич керамический облицовочный полуторный пустотелый «солома»";"желтый";3300;352;"M150 /F75";2730;0;0;0;;;;0;0;0;;0;0;2730;0;0
"br-16";"Кирпич керамический облицовочный одинарный пустотелый «солома»";"желтый";2400;480;"M150 /F75";1950;0;0;0;;;;0;0;0;;0;0;1950;0;0
"br-17";"Камень (блок) керамический красный рядовой пустотелый с рифленой поверхностью";"красный";4300;240;"M125 /F50";1510;1800;2050;2050;;;;0;2940;0;;0;2220;1510;0;2090
"br-18";"Кирпич керамический рядовой полуторный пустотелый";"красный";3300;352;"M125 /F50";1170;1150;1500;1500;;;;1535;2130;1399;;1250;1630;1310;1250;1530
"br-19";"Кирпич керамический рядовой одинарный пустотелый";"красный";2400;480;"M125 /F50";960;950;1242;1242;;;;1365;1700;1229;;1100;1340;1130;1100;1255
"br-20";"Кирпич керамический одинарный полнотелый (пустотность 12%)";"красный";3300;360;"М200";1500;0;0;0;;;;0;0;0;;0;0;0;0;0
"br-21";;;;;;;;;;;;;;;;;;;;;
"br-22";;;;;;;;;;;;;;;;;;;;;
"br-23";;;;;;;;;;;;;;;;;;;;;
"br-24";;;;;;;;;;;;;;;;;;;;;
"br-25";;;;;;;;;;;;;;;;;;;;;
"br-26";;;;;;;;;;;;;;;;;;;;;
"br-27";;;;;;;;;;;;;;;;;;;;;
"br-28";;;;;;;;;;;;;;;;;;;;;
"br-29";;;;;;;;;;;;;;;;;;;;;
"br-30";;;;;;;;;;;;;;;;;;;;;
"br-31";;;;;;;;;;;;;;;;;;;;;
"br-32";;;;;;;;;;;;;;;;;;;;;
"br-33";;;;;;;;;;;;;;;;;;;;;
"br-34";;;;;;;;;;;;;;;;;;;;;
"br-35";;;;;;;;;;;;;;;;;;;;;
"br-36";;;;;;;;;;;;;;;;;;;;;
"br-37";;;;;;;;;;;;;;;;;;;;;
"br-38";;;;;;;;;;;;;;;;;;;;;
"br-39";;;;;;;;;;;;;;;;;;;;;
"br-40";;;;;;;;;;;;;;;;;;;;;
"br-41";;;;;;;;;;;;;;;;;;;;;
"br-42";;;;;;;;;;;;;;;;;;;;;
"br-43";;;;;;;;;;;;;;;;;;;;;
"br-44";;;;;;;;;;;;;;;;;;;;;
"br-45";;;;;;;;;;;;;;;;;;;;;
"br-46";;;;;;;;;;;;;;;;;;;;;
"br-47";;;;;;;;;;;;;;;;;;;;;
"br-48";;;;;;;;;;;;;;;;;;;;;
"br-49";;;;;;;;;;;;;;;;;;;;;
"br-50";;;;;;;;;;;;;;;;;;;;;
"br-51";;;;;;;;;;;;;;;;;;;;;
"br-52";;;;;;;;;;;;;;;;;;;;;
"br-53";;;;;;;;;;;;;;;;;;;;;
