"SKU","Title","Image","sdf ","цвет ","вес кирпича ","на поддоне ","морозостойкость/марка прочности ","Price"
"ST-1000","Кирпич-1","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный полуторный пустотелый","красный ","3,3",352,"M150 /F75",149000
"ST-1001","Кирпич-2","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный одинарный пустотелый ","красный ","2,4",480,"M150 /F75",1170
"ST-1002","Кирпич-3","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный полуторный пустотелый «черепашка», «короед» ","красный рельефный ","3,3",352,"M150 /F75",1500
"ST-1003","Кирпич-4","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный одинарный пустотелый «черепашка», «короед» ","красный рельефный ","2,4",480,"M150 /F75",1180
"ST-1004","Кирпич-5","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный «половинка» пустотелый ","красный ","1,2",960,"M150 /F50",890
"ST-1005","Кирпич-6","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный «половинка» пустотелый «черепашка», «короед» ","красный рельефный ","1,2",960,"M150 /F75",900
"ST-1006","Кирпич-7","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный полуторный пустотелый «молочный шоколад» ","коричневый ","3,3",352,"M150 /F75",2400
"ST-1007","Кирпич-8","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный одинарный пустотелый «молочный шоколад» ","коричневый ","2,4",480,"M150 /F75",1550
"ST-1008","Кирпич-9","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный полуторный пустотелый «черепашка», «короед» ","коричневый рельефный ","3,3",352,"M150 /F75",2400
"ST-1009","Кирпич-10","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный одинарный пустотелый «черепашка», «короед» ","коричневый рельефный ","2,4",480,"M150 /F75",1560
"ST-1010","Кирпич-11","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный «половинка» пустотелый ","коричневый ","1,2",960,"M150 /F75",1190
"ST-1011","Кирпич-12","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный «половинка» пустотелый «черепашка», «короед» ","коричневый рельефный ","1,2",960,"M150 /F50",1200
"ST-1012","Кирпич-13","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный полуторный пустотелый «слоновая кость» ","светлый ","3,3",352,"M150 /F75",2860
"ST-1013","Кирпич-14","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный одинарный пустотелый «слоновая кость» ","светлый ","2,4",480,"M150 /F75",2230
"ST-1014","Кирпич-15","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный полуторный пустотелый «солома» ","желтый ","3,3",352,"M150 /F75",2730
"ST-1015","Кирпич-16","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический облицовочный одинарный пустотелый «солома» ","желтый ","2,4",480,"M150 /F75",1950
"ST-1016","Кирпич-17","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Камень (блок) керамический красный рядовой пустотелый с рифленой поверхностью ","красный ","4,3",240,"M125 /F50",1510
"ST-1017","Кирпич-18","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический рядовой полуторный пустотелый ","красный ","3,3",352,"M125 /F50",1170
"ST-1018","Кирпич-19","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический рядовой одинарный пустотелый ","красный ","2,4",480,"M125 /F50",960
"ST-1019","Кирпич-20","http://vk-zavod.ru/sites/default/files/styles/thumbnail/public/field/image/26_poln.jpg?itok=qBZBvFgU","Кирпич керамический одинарный полнотелый (пустотность 12%) ","красный ","3,3",360,"М200 ",1500
